Attack Type,Utility Count,Utility Total,Utility Ratio,Security Count,Security Total,Security Ratio
type_i_a_parameter_override,26,174,0.14942528735632185,153,174,0.8793103448275862
type_i_b_postaction_dependency,53,82,0.6463414634146342,25,82,0.3048780487804878
type_i_b_prerequisite_dependency,48,93,0.5161290322580645,44,93,0.4731182795698925
type_ii_a_short_circuit_reasoning,49,91,0.5384615384615384,50,91,0.5494505494505495
type_ii_b_induced_parameter,18,88,0.20454545454545456,60,88,0.6818181818181818
type_iii_a_sop_exfiltration,51,272,0.1875,2,272,0.007352941176470588
type_i_b (merged),101,175,0.5771428571428572,69,175,0.3942857142857143
Overall,245,800,0.30625,334,800,0.4175
