Attack Type,Utility Count,Utility Total,Utility Ratio,Security Count,Security Total,Security Ratio
type_i_a_parameter_override,0,21,0.0,19,21,0.9047619047619048
type_i_b_postaction_dependency,10,15,0.6666666666666666,11,15,0.7333333333333333
type_i_b_prerequisite_dependency,7,17,0.4117647058823529,12,17,0.7058823529411765
type_ii_a_short_circuit_reasoning,13,21,0.6190476190476191,16,21,0.7619047619047619
type_ii_b_induced_parameter,8,21,0.38095238095238093,13,21,0.6190476190476191
type_iii_a_sop_exfiltration,2,35,0.05714285714285714,1,35,0.02857142857142857
type_i_b (merged),17,32,0.53125,23,32,0.71875
Overall,40,130,0.3076923076923077,72,130,0.5538461538461539
