Attack Type,Utility Count,Utility Total,Utility Ratio,Security Count,Security Total,Security Ratio
type_i_a_parameter_override,26,174,0.14942528735632185,153,174,0.8793103448275862
type_i_b_postaction_dependency,59,91,0.6483516483516484,25,91,0.27472527472527475
type_i_b_prerequisite_dependency,48,93,0.5161290322580645,44,93,0.4731182795698925
type_ii_a_short_circuit_reasoning,49,91,0.5384615384615384,50,91,0.5494505494505495
type_ii_b_induced_parameter,18,88,0.20454545454545456,60,88,0.6818181818181818
type_iii_a_sop_exfiltration,51,272,0.1875,2,272,0.007352941176470588
type_i_b (merged),107,184,0.5815217391304348,69,184,0.375
Overall,251,809,0.31025957972805934,334,809,0.41285537700865266
