Attack Type,Utility True Count,Utility Total,Utility Ratio,Security True Count,Security Total,Security Ratio,Utility,Security
type_i_b (merged),132,184,0.717391304347826,74,184,0.40217391304347827,132/184=0.7174,74/184=0.4022
type_i_a,32,174,0.1839080459770115,154,174,0.8850574712643678,32/174=0.1839,154/174=0.8851
type_ii_a,61,111,0.5495495495495496,65,111,0.5855855855855856,61/111=0.5495,65/111=0.5856
type_ii_b,18,88,0.20454545454545456,68,88,0.7727272727272727,18/88=0.2045,68/88=0.7727
type_iii_a_sop,45,257,0.17509727626459143,160,257,0.622568093385214,45/257=0.1751,160/257=0.6226
