Attack Type,Utility True Count,Utility Total,Utility Ratio,Security True Count,Security Total,Security Ratio,Utility,Security
type_i_a_parameter_override,26,174,0.14942528735632185,153,174,0.8793103448275862,26/174=0.1494,153/174=0.8793
type_i_b (merged),107,184,0.5815217391304348,69,184,0.375,107/184=0.5815,69/184=0.3750
type_ii_a_short_circuit_reasoning,49,91,0.5384615384615384,50,91,0.5494505494505495,49/91=0.5385,50/91=0.5495
type_ii_b_induced_parameter,18,88,0.20454545454545456,60,88,0.6818181818181818,18/88=0.2045,60/88=0.6818
type_iii_a_sop_exfiltration,51,272,0.1875,2,272,0.007352941176470588,51/272=0.1875,2/272=0.0074
