Attack Type,Utility Count,Utility Total,Utility Ratio,Security Count,Security Total,Security Ratio
type_i_b (merged),27,32,0.84375,13,32,0.40625
Overall,65,176,0.3693181818181818,128,176,0.7272727272727273
