Attack Type,Utility Count,Utility Total,Utility Ratio,Security Count,Security Total,Security Ratio
type_i_b (merged),132,184,0.717391304347826,74,184,0.40217391304347827
Overall,288,814,0.3538083538083538,521,814,0.64004914004914
