Attack Type,Utility Count,Utility Total,Utility Ratio,Security Count,Security Total,Security Ratio
type_i_a_parameter_override,18,117,0.15384615384615385,101,117,0.8632478632478633
type_i_b_postaction_dependency,34,40,0.85,0,40,0.0
type_i_b_prerequisite_dependency,34,40,0.85,0,40,0.0
type_ii_a_short_circuit_reasoning,25,34,0.7352941176470589,4,34,0.11764705882352941
type_ii_b_induced_parameter,7,31,0.22580645161290322,18,31,0.5806451612903226
type_iii_a_sop_exfiltration,21,41,0.5121951219512195,1,41,0.024390243902439025
type_i_b (merged),68,80,0.85,0,80,0.0
Overall,139,303,0.45874587458745875,124,303,0.40924092409240925
